Codificació;denominaci;Departament;membre;c_rrec_en_l_rgan_de_govern_superior;c_rrec_o_lloc_de_treball;SAC.carrec;SAC.codi_d_informaci;rgan_que_designa;SAC;nom_1;Observacions
Fundació Universitària BalmesPersones representants de l'Administració de la Generalitat de CatalunyaExpert en Polítiques Universitàries de la Direcció General d'Universitats;Fundació Universitària Balmes;REU - Departament de Recerca i Universitats;Persones representants de l'Administració de la Generalitat de Catalunya;Patró;Expert en Polítiques Universitàries de la Direcció General d'Universitats;Expert en Polítiques Universitàries;22075;Govern de la Generalitat de Catalunya;Polítiques Universitàries de la Direcció General d'Universitats;Josep Ribas Seix;
Institut de Recerca i Tecnologia Agroalimentàries (IRTA)El/la director/a general de l'IRTADirector general de l'IRTA;Institut de Recerca i Tecnologia Agroalimentàries (IRTA);ARP - Departament d'Agricultura, Ramaderia, Pesca i Alimentació;El/la director/a general de l'IRTA;Vocal;Director general de l'IRTA;director general de l'Institut de Recerca i Tecnologia Agroalimentàries;4436;;Institut de Recerca i Tecnologia Agroalimentàries (IRTA);Josep Usall Rodié;
Fundació Institució dels Centres de Recerca de Catalunya (Fundació I-CERCA)Patró designat pel titular del departament de la Generalitat competent en matèria d'agriculturaDirector general de l’IRTA;Fundació Institució dels Centres de Recerca de Catalunya (Fundació I-CERCA);REU - Departament de Recerca i Universitats;Patró designat pel titular del departament de la Generalitat competent en matèria d'agricultura;Vocal;Director general de l’IRTA;director general de l'Institut de Recerca i Tecnologia Agroalimentàries;4436;;Institut de Recerca i Tecnologia Agroalimentàries (IRTA);Josep Usall Rodié;
Consorci CSIC-IRTA-UAB Centre de Recerca AgrigenòmicaInstitut de Recerca i Tecnologia Agroalimentàries (IRTA)Director general de l'Institut de Recerca i Tecnologia Agroalimentàries (IRTA);Consorci CSIC-IRTA-UAB Centre de Recerca Agrigenòmica;ARP - Departament d'Agricultura, Ramaderia, Pesca i Alimentació;Institut de Recerca i Tecnologia Agroalimentàries (IRTA);Vicepresident/a;Director general de l'Institut de Recerca i Tecnologia Agroalimentàries (IRTA);director general de l'Institut de Recerca i Tecnologia Agroalimentàries;4436;;Institut de Recerca i Tecnologia Agroalimentàries (IRTA);Josep Usall Rodié;
Fundació Parc de Recerca UAB (M.P.)El/la director/a general de l'IRTADirector general de l'IRTA;Fundació Parc de Recerca UAB (M.P.);ARP - Departament d'Agricultura, Ramaderia, Pesca i Alimentació;El/la director/a general de l'IRTA;Vicepresident/a segon;Director general de l'IRTA;director general de l'Institut de Recerca i Tecnologia Agroalimentàries;4436;;Institut de Recerca i Tecnologia Agroalimentàries (IRTA);Josep Usall Rodié;
Consorci Centre Internacional d'Investigació dels Recursos CostanersAdministració de la Generalitat de CatalunyaDirector general de Polítiques del Litoral;Consorci Centre Internacional d'Investigació dels Recursos Costaners;TER - Departament de Territori, Habitatge i Transició Ecològica;Administració de la Generalitat de Catalunya;Vocal;Director general de Polítiques del Litoral;directora general de Polítiques del Litoral;23483;Govern de la Generalitat de Catalunya;Direcció General de Polítiques del Litoral;Kiryat Mercado Garrido;
Fundació Institut Català de Recerca en Patrimoni Cultural (ICRPC)Vocal designat per la Generalitat, nomenat pel titular del dept. competent en matèria de recercaDirectora Institució CERCA. REU;Fundació Institut Català de Recerca en Patrimoni Cultural (ICRPC);REU - Departament de Recerca i Universitats;Vocal designat per la Generalitat, nomenat pel titular del dept. competent en matèria de recerca;Vocal;Directora Institució CERCA. REU;directora de la Fundació Institució dels Centres de Recerca de Catalunya;18791;Conseller/a competent en recerca;Fundació Institució dels Centres de Recerca de Catalunya (Fundació I-CERCA);Laia Pellejà Puxeu;
Fundació Hospital Universitari Vall d'Hebron-Institut de Recerca (VHIR)Membre desginat pel titular del departament de la Generalitat competent en matèria de recercaDirectora de la Fundació Institució de Centres de Recerca de Catalunya (Insttució CERCA);Fundació Hospital Universitari Vall d'Hebron-Institut de Recerca (VHIR);SLT - Departament de Salut;Membre desginat pel titular del departament de la Generalitat competent en matèria de recerca;Secretari/ària;Directora de la Fundació Institució de Centres de Recerca de Catalunya (Insttució CERCA);directora de la Fundació Institució dels Centres de Recerca de Catalunya;18791;;Fundació Institució dels Centres de Recerca de Catalunya (Fundació I-CERCA);Laia Pellejà Puxeu;
Fundació Centre de Recerca en Agrotecnologia, AGROTECNIOVocal designat per la persona titular del dept de la Generalitat competent en matèria de recercaDirector/a de la Fundació Institució dels Centres de Recerca de Catalunya (I-CERCA);Fundació Centre de Recerca en Agrotecnologia, AGROTECNIO;ARP - Departament d'Agricultura, Ramaderia, Pesca i Alimentació;Vocal designat per la persona titular del dept de la Generalitat competent en matèria de recerca;Vocal;Director/a de la Fundació Institució dels Centres de Recerca de Catalunya (I-CERCA);directora de la Fundació Institució dels Centres de Recerca de Catalunya;18791;Consellera de Recerca i Universitats;Fundació Institució dels Centres de Recerca de Catalunya (Fundació I-CERCA);Laia Pellejà Puxeu;
Consorci Administració Oberta de CatalunyaMembre designat pel Govern de la Generalitat, amb rang de secretari o director generalDirectora de l’Agència de Ciberseguretat de Catalunya;Consorci Administració Oberta de Catalunya;PRE - Departament de la Presidència;Membre designat pel Govern de la Generalitat, amb rang de secretari o director general;Membre;Directora de l’Agència de Ciberseguretat de Catalunya;Directora de l'Agència de Ciberseguretat de Catalunya;21284;Govern de la Generalitat de Catalunya;Agència de Ciberseguretat de Catalunya;Laura Caballero Nadales;
Fundació Privada I2CAT, Internet i Innovació Digital a CatalunyaVocal proposat per institucions i empreses vinculades a la Fundació i que subscriguin un conveniDirectora general de l'Agència de Ciberseguretat de Catalunya;Fundació Privada I2CAT, Internet i Innovació Digital a Catalunya;PRE - Departament de la Presidència;Vocal proposat per institucions i empreses vinculades a la Fundació i que subscriguin un conveni;Vocal;Directora general de l'Agència de Ciberseguretat de Catalunya;Directora de l'Agència de Ciberseguretat de Catalunya;21284;A proposta de l’Agència de Ciberseguretat de Catalunya;Agència de Ciberseguretat de Catalunya;Laura Caballero Nadales;
Centre de Telecomunicacions i Tecnologies de la Informació de la Generalitat de CatalunyaRepresentants de I'Administració de Ia Generalitat de CatalunyaSecretària general del Departament d'Unió Europea i Acció Exterior;Centre de Telecomunicacions i Tecnologies de la Informació de la Generalitat de Catalunya;PRE - Departament de la Presidència;Representants de I'Administració de Ia Generalitat de Catalunya;Vocal;Secretària general del Departament d'Unió Europea i Acció Exterior;Secretària general d'Unió Europea i Acció Exterior;19776;Govern de la Generalitat de Catalunya;Secretaria General del Departament d'Unió Europea i Acció Exterior;Lorena Elvira Ayuso;
Consorci Catalunya InternacionalVocal nomenat pel titular del dept compet en mat acció ext, a prop titular dept compet acció exterioSecretària general del Departament d’Unió Europea i Acció Exterior;Consorci Catalunya Internacional;UEX - Departament d'Unió Europea i Acció Exterior;Vocal nomenat pel titular del dept compet en mat acció ext, a prop titular dept compet acció exterio;Vocal;Secretària general del Departament d’Unió Europea i Acció Exterior;Secretària general d'Unió Europea i Acció Exterior;19776;Conseller d’Unió Europea i Acció Exterior;Secretaria General del Departament d'Unió Europea i Acció Exterior;Lorena Elvira Ayuso;
Consorci del Transport Públic del Camp de Tarragona, Autoritat Territorial de la MobilitatEl/la delegat/da del Govern en aquest àmbit territorialDelegada territorial del Govern de la Generalitat a Tarragona;Consorci del Transport Públic del Camp de Tarragona, Autoritat Territorial de la Mobilitat;TER - Departament de Territori, Habitatge i Transició Ecològica;El/la delegat/da del Govern en aquest àmbit territorial;Vocal;Delegada territorial del Govern de la Generalitat a Tarragona;delegada territorial del Govern a Tarragona;685;;Delegació Territorial del Govern a Tarragona;Lucía López Cerdán;
Centre de Telecomunicacions i Tecnologies de la Informació de la Generalitat de CatalunyaRepresentants de I'Administració de Ia Generalitat de CatalunyaSecretaria general del Departament de Justícia i Qualitat Democràtica;Centre de Telecomunicacions i Tecnologies de la Informació de la Generalitat de Catalunya;PRE - Departament de la Presidència;Representants de I'Administració de Ia Generalitat de Catalunya;Vocal;Secretaria general del Departament de Justícia i Qualitat Democràtica;secretària general de Justícia i Qualitat Democràtica;13763;Govern de la Generalitat de Catalunya;Secretaria General de Justícia i Qualitat Democràtica;Maite Casado Cadarso;
Centre d'Estudis Jurídics i Formació EspecialitzadaAlts càrrecs del Departament de Justícia, designats per la persona que n'exerceix la presidència.Secretaria general del Departament de Justícia i Qualitat Democràtica;Centre d'Estudis Jurídics i Formació Especialitzada;JUS - Departament de Justícia i Qualitat Democràtica;Alts càrrecs del Departament de Justícia, designats per la persona que n'exerceix la presidència.;Vocal;Secretaria general del Departament de Justícia i Qualitat Democràtica;secretària general de Justícia i Qualitat Democràtica;13763;Conseller/a de Justícia;Secretaria General de Justícia i Qualitat Democràtica;Maite Casado Cadarso;
Centre d'Estudis Jurídics i Formació EspecialitzadaLa persona titular de la direcció del CentreDirector del Centre d’Estudis Jurídics i Formació Especialitzada;Centre d'Estudis Jurídics i Formació Especialitzada;JUS - Departament de Justícia i Qualitat Democràtica;La persona titular de la direcció del Centre;Vocal;Director del Centre d’Estudis Jurídics i Formació Especialitzada;director del Centre d'Estudis Jurídics i Formació Especialitzada;5179;;Centre d'Estudis Jurídics i Formació Especialitzada (CEJFE);Marc Cerón Riera;
Consorci per a la Protecció i la Gestió dels Espais Naturals del Delta del LlobregatRepresentant de la Generalitat de CatalunyaDirector de Polítiques Ambientals i Medi Natural;Consorci per a la Protecció i la Gestió dels Espais Naturals del Delta del Llobregat;TER - Departament de Territori, Habitatge i Transició Ecològica;Representant de la Generalitat de Catalunya;Vocal;Director de Polítiques Ambientals i Medi Natural;director general de Polítiques Ambientals i Medi Natural;6307;Conseller/a del Departament d'Acció Climàtica, Alimentació i Agenda Rural;Direcció General de Polítiques Ambientals i Medi Natural;Marc Vilahur Chiaraviglio;
Consorci del Museu Memorial de l'ExiliRepresentant nom. pel Govern de la Generalitat, a proposta depart. competent en memòria democràticaDirectora dels Serveis Territorials a Girona del Departament de Cultura;Consorci del Museu Memorial de l'Exili;JUS - Departament de Justícia i Qualitat Democràtica;Representant nom. pel Govern de la Generalitat, a proposta depart. competent en memòria democràtica;Vocal;Directora dels Serveis Territorials a Girona del Departament de Cultura;Director dels Serveis Territorials a Girona;2267;;Serveis Territorials a Girona del Departament de Cultura;Maria Isabel Bernal Guirao;
Consorci Patrimoni Mundial de la Vall de BoíPersona representant de l'Agència Catalana de Patrimoni CulturalSubdirectora general de Patrimoni Arquitectònic, Arqueològic i Paleontològic;Consorci Patrimoni Mundial de la Vall de Boí;CLT - Departament de Cultura;Persona representant de l'Agència Catalana de Patrimoni Cultural;Vocal;Subdirectora general de Patrimoni Arquitectònic, Arqueològic i Paleontològic;subdirector general del Patrimoni Arquitectònic, Arqueològic i Paleontològic;2286;Conseller/a de Cultura;Subdirecció General del Patrimoni Arquitectònic, Arqueològic i Paleontològic;Marina Miquel Vives;
Institut per al Desenvolupament de les Comarques de l'Ebre (IDECE)Representants determinats pel Govern en representació de la GeneralitatDirector dels Serveis Territorials de Territori a les Terres de l'Ebre;Institut per al Desenvolupament de les Comarques de l'Ebre (IDECE);EMT - Departament d'Empresa i Treball;Representants determinats pel Govern en representació de la Generalitat;Vocal;Director dels Serveis Territorials de Territori a les Terres de l'Ebre;director dels Serveis Territorials;15363;Govern de la Generalitat de Catalunya;Serveis Territorials de Territori, Habitatge i Transició Ecològica a les Terres de l'Ebre;Miguel Alonso Cruelles;
Agència de l'Habitatge de CatalunyaEl director o directoraDirector de l'Agència de l'Habitatge;Agència de l'Habitatge de Catalunya;TER - Departament de Territori, Habitatge i Transició Ecològica;El director o directora;Vocal;Director de l'Agència de l'Habitatge;director de l'Agència de l'Habitatge de Catalunya;18035;Govern de la Generalitat de Catalunya;Agència de l'Habitatge de Catalunya;Miquel Bagudanch Gené;
Entitat Autònoma del Diari Oficial i de Publicacions de la Generalitat de CatalunyaPersona titular de la unitat directiva compet en matèria de coordinació interdepartamentalDirectora general de Coordinació Interdepartamental;Entitat Autònoma del Diari Oficial i de Publicacions de la Generalitat de Catalunya;PRE - Departament de la Presidència;Persona titular de la unitat directiva compet en matèria de coordinació interdepartamental;Vocal;Directora general de Coordinació Interdepartamental;Directora general de Coordinació Interdepartamental i Relacions amb l'Estat;19784;;Direcció General de Coordinació Interdepartamental i Relacions amb l'Estat;Mónica Lafuente de la Torre;
Agència Catalana de l'Aigua (ACA)Representant del departament competent en presidènciaDirectora general de Coordinació Interdepartamental del Departament de la Presidència;Agència Catalana de l'Aigua (ACA);TER - Departament de Territori, Habitatge i Transició Ecològica;Representant del departament competent en presidència;Vocal;Directora general de Coordinació Interdepartamental del Departament de la Presidència;Directora general de Coordinació Interdepartamental i Relacions amb l'Estat;19784;Conseller de Territori i Sostenibilitat;Direcció General de Coordinació Interdepartamental i Relacions amb l'Estat;Mónica Lafuente de la Torre;
Institut Català del Sòl (INCASÒL)Representants de la Generalitat que assenyali el GovernDirectora general de Coordinació Interdepartamental;Institut Català del Sòl (INCASÒL);TER - Departament de Territori, Habitatge i Transició Ecològica;Representants de la Generalitat que assenyali el Govern;Vocal;Directora general de Coordinació Interdepartamental;Directora general de Coordinació Interdepartamental i Relacions amb l'Estat;19784;Govern de la Generalitat de Catalunya;Direcció General de Coordinació Interdepartamental i Relacions amb l'Estat;Mónica Lafuente de la Torre;
Fundació Catalana per a la Recerca i la Innovació (FCRi)Patró designat pel/per la titular del departament de la Generalitat competent en salutSubdirectora geenral de Recerca i Innovació en Salut;Fundació Catalana per a la Recerca i la Innovació (FCRi);REU - Departament de Recerca i Universitats;Patró designat pel/per la titular del departament de la Generalitat competent en salut;Vocal;Subdirectora geenral de Recerca i Innovació en Salut;subdirectora general de Recerca i Innovació en Salut;17052;Conseller de Salut;Subdirecció General de Recerca i Innovació en Salut;Montserrat Llavayol Giralt;
Fundació Institut d’Investigació en Ciències de la Salut Germans Trias i PujolMembre designat a proposta del propi PatronatSub-directora general de Recerca i Innovació en Salut;Fundació Institut d’Investigació en Ciències de la Salut Germans Trias i Pujol;SLT - Departament de Salut;Membre designat a proposta del propi Patronat;Patró;Sub-directora general de Recerca i Innovació en Salut;subdirectora general de Recerca i Innovació en Salut;17052;Patronat;Subdirecció General de Recerca i Innovació en Salut;Montserrat Llavayol Giralt;
Fundació Institut d’Investigació Biomèdica de Girona Dr. Josep Trueta (IdIBGI)Membre designat per la persona titular del departament competent en matèria de salutSub-directora general de Recerca i Innovació en Salut;Fundació Institut d’Investigació Biomèdica de Girona Dr. Josep Trueta (IdIBGI);SLT - Departament de Salut;Membre designat per la persona titular del departament competent en matèria de salut;Patró;Sub-directora general de Recerca i Innovació en Salut;subdirectora general de Recerca i Innovació en Salut;17052;Conseller/a de Salut;Subdirecció General de Recerca i Innovació en Salut;Montserrat Llavayol Giralt;
Fundació de Recerca Clínic Barcelona-Institut d’Investigacions Biomèdiques August Pi i Sunyer (FRCB-IDIBAPS)Persona designada pel/la titular del dept de la GC competent en matèria de salutSubdirectora general de Recerca i Innovació en Salut ;Fundació de Recerca Clínic Barcelona-Institut d’Investigacions Biomèdiques August Pi i Sunyer (FRCB-IDIBAPS);SLT - Departament de Salut;Persona designada pel/la titular del dept de la GC competent en matèria de salut;Patró;Subdirectora general de Recerca i Innovació en Salut ;subdirectora general de Recerca i Innovació en Salut;17052;Conseller de Salut;Subdirecció General de Recerca i Innovació en Salut;Montserrat Llavayol Giralt;
Consorci del Turó de la Seu Vella de LleidaDepartament de CulturaDelegada Territorial del Govern de la Generalitat a Lleida;Consorci del Turó de la Seu Vella de Lleida;CLT - Departament de Cultura;Departament de Cultura;Vocal;Delegada Territorial del Govern de la Generalitat a Lleida;Delegada territorial del Govern a Lleida;680;Conseller de Cultura;Delegació Territorial del Govern a Lleida;Núria Gil Sisó;
Consorci del Transport Públic de l'Àrea de Lleida, Autoritat Territorial de MobilitatEl/la delegat/da del Govern en aquest àmbit territorialDelegada territorial del Govern de la Generalitat a Lleida;Consorci del Transport Públic de l'Àrea de Lleida, Autoritat Territorial de Mobilitat;TER - Departament de Territori, Habitatge i Transició Ecològica;El/la delegat/da del Govern en aquest àmbit territorial;Vocal;Delegada territorial del Govern de la Generalitat a Lleida;Delegada territorial del Govern a Lleida;680;;Delegació Territorial del Govern a Lleida;Núria Gil Sisó;
Fundació Hospital Universitari Vall d'Hebron-Institut de Recerca (VHIR)El/la titular del departament de la Generalitat competent en recerca que exercirà la vice. primeraConseller de Recerca i Universitats;Fundació Hospital Universitari Vall d'Hebron-Institut de Recerca (VHIR);SLT - Departament de Salut;El/la titular del departament de la Generalitat competent en recerca que exercirà la vice. primera;Vicepresident/a primer;Conseller de Recerca i Universitats;consellera de Recerca i Universitats;21648;;Departament de Recerca i Universitats;Núria Montserrat Pulido;
Fundació Centre Tecnològic de Telecomunicacions de Catalunya (CTTC)El/la president/a que correspon al/la titutar del departament de la Generalitat competent en recercaConsellera del Departament de Recerca i Universitats;Fundació Centre Tecnològic de Telecomunicacions de Catalunya (CTTC);REU - Departament de Recerca i Universitats;El/la president/a que correspon al/la titutar del departament de la Generalitat competent en recerca;President/a;Consellera del Departament de Recerca i Universitats;consellera de Recerca i Universitats;21648;;Departament de Recerca i Universitats;Núria Montserrat Pulido;
Centre de Visió per ComputadorEl/la president/a, nomenat/da pel Govern a proposta dels depart. de recerca i politiques digitalsPersona titular del Departament de Recerca i Universitats;Centre de Visió per Computador;REU - Departament de Recerca i Universitats;El/la president/a, nomenat/da pel Govern a proposta dels depart. de recerca i politiques digitals;President/a;Persona titular del Departament de Recerca i Universitats;consellera de Recerca i Universitats;21648;Govern de la Generalitat de Catalunya;Departament de Recerca i Universitats;Núria Montserrat Pulido;
Agència de Gestió d'Ajuts Universitaris i de Recerca (AGAUR)El president o presidenta de l’Agència - titular del departament competent en matèria d'universitatsConsellera del Departament de Recerca i Universitats;Agència de Gestió d'Ajuts Universitaris i de Recerca (AGAUR);REU - Departament de Recerca i Universitats;El president o presidenta de l’Agència - titular del departament competent en matèria d'universitats;President/a - conseller/a;Consellera del Departament de Recerca i Universitats;consellera de Recerca i Universitats;21648;;Departament de Recerca i Universitats;Núria Montserrat Pulido;
Fundació Hospital Universitari Vall d'Hebron-Institut de Recerca (VHIR)El/la titular del departament de la Generalitat competent en salut que exercirà la presidènciaConseller de Salut;Fundació Hospital Universitari Vall d'Hebron-Institut de Recerca (VHIR);SLT - Departament de Salut;El/la titular del departament de la Generalitat competent en salut que exercirà la presidència;President/a;Conseller de Salut;consellera de Salut;2803;;Departament de Salut;Olga Pané Mena;
Fundació Institut Universitari per a la Recerca a l'Atenció Primària de Salut Jordi Gol i GurinaLa persona titular del departament competent en matèria de salut, que exerceix la presidènciaConsellera del Departament de Salut;Fundació Institut Universitari per a la Recerca a l'Atenció Primària de Salut Jordi Gol i Gurina;SLT - Departament de Salut;La persona titular del departament competent en matèria de salut, que exerceix la presidència;President/a;Consellera del Departament de Salut;consellera de Salut;2803;;Departament de Salut;Olga Pané Mena;
Institut Cartogràfic i Geològic de CatalunyaPersones en representació de la Generalitat, nomenades pels departaments que determini el GovernPersona titular de la Direcció de Serveis del Departament de Territori, Habitatge i Transició Ecològ;Institut Cartogràfic i Geològic de Catalunya;TER - Departament de Territori, Habitatge i Transició Ecològica;Persones en representació de la Generalitat, nomenades pels departaments que determini el Govern;Vocal;Persona titular de la Direcció de Serveis del Departament de Territori, Habitatge i Transició Ecològ;directora de Serveis;3421;Titular del departament amb competències en política territorial, urbanisme i obra pública;Direcció de Serveis del Departament de Territori, Habitatge i Transició Ecològica;Pilar Gibert Gerez;
Centre de Telecomunicacions i Tecnologies de la Informació de la Generalitat de CatalunyaRepresentants de I'Administració de Ia Generalitat de CatalunyaSecretari general del Departament d'Empresa i Treball;Centre de Telecomunicacions i Tecnologies de la Informació de la Generalitat de Catalunya;PRE - Departament de la Presidència;Representants de I'Administració de Ia Generalitat de Catalunya;Vocal;Secretari general del Departament d'Empresa i Treball;secretari general d'Empresa i Treball;19780;Govern de la Generalitat de Catalunya;Secretaria General d'Empresa i Treball;Pol Gibert Horcas;
Consorci Catalunya InternacionalVocal nomenat pel titular del dept compet en mat acció ext, a prop titular dept compet empresaSecretari general del Departament d’Empresa i Treball;Consorci Catalunya Internacional;UEX - Departament d'Unió Europea i Acció Exterior;Vocal nomenat pel titular del dept compet en mat acció ext, a prop titular dept compet empresa;Vocal;Secretari general del Departament d’Empresa i Treball;secretari general d'Empresa i Treball;19780;Conseller d’Unió Europea i Acció Exterior;Secretaria General d'Empresa i Treball;Pol Gibert Horcas;
Consorci Fira Internacional de BarcelonaVocal designat per la Generalitat de CatalunyaSecretari general del Departament d'Empresa i Treball;Consorci Fira Internacional de Barcelona;EMT - Departament d'Empresa i Treball;Vocal designat per la Generalitat de Catalunya;Conseller/a;Secretari general del Departament d'Empresa i Treball;secretari general d'Empresa i Treball;19780;Govern de la Generalitat de Catalunya;Secretaria General d'Empresa i Treball;Pol Gibert Horcas;
Memorial DemocràticConseller/a del departament al qual és adscrit el Memorial Democràtic, que n'ocupa la presidènciaConseller de Justícia;Memorial Democràtic;JUS - Departament de Justícia i Qualitat Democràtica;Conseller/a del departament al qual és adscrit el Memorial Democràtic, que n'ocupa la presidència;President/a;Conseller de Justícia;conseller de Justícia i Qualitat Democràtica;13757;;Departament de Justícia i Qualitat Democràtica;Ramon Espadaler Parcerisas;
Consorci Memorial dels Espais de la Batalla de l'EbreEl/la president/a del Consorci, titular del departament competent en matèria de memòria democràticaConseller de Justícia;Consorci Memorial dels Espais de la Batalla de l'Ebre;JUS - Departament de Justícia i Qualitat Democràtica;El/la president/a del Consorci, titular del departament competent en matèria de memòria democràtica;President/a;Conseller de Justícia;conseller de Justícia i Qualitat Democràtica;13757;President de la Generalitat de Catalunya;Departament de Justícia i Qualitat Democràtica;Ramon Espadaler Parcerisas;
Centre d'Iniciatives per a la ReinsercióPresident/a El/la conseller/a del departament competent en matèria d'execució penalConseller del Departament de Justícia i Qualitat Democràtica;Centre d'Iniciatives per a la Reinserció;JUS - Departament de Justícia i Qualitat Democràtica;President/a El/la conseller/a del departament competent en matèria d'execució penal;President/a;Conseller del Departament de Justícia i Qualitat Democràtica;conseller de Justícia i Qualitat Democràtica;13757;;Departament de Justícia i Qualitat Democràtica;Ramon Espadaler Parcerisas;
Centre d'Estudis Jurídics i Formació EspecialitzadaLa presidència, que correspon a la persona titular del Departament de Justícia de la GeneralitatConseller de Justícia;Centre d'Estudis Jurídics i Formació Especialitzada;JUS - Departament de Justícia i Qualitat Democràtica;La presidència, que correspon a la persona titular del Departament de Justícia de la Generalitat;President/a;Conseller de Justícia;conseller de Justícia i Qualitat Democràtica;13757;;Departament de Justícia i Qualitat Democràtica;Ramon Espadaler Parcerisas;
Institut Català del Sòl (INCASÒL)Representants de la Generalitat que assenyali el GovernSecretari general del Departament de Drets Socials i Inclusió;Institut Català del Sòl (INCASÒL);TER - Departament de Territori, Habitatge i Transició Ecològica;Representants de la Generalitat que assenyali el Govern;Vocal;Secretari general del Departament de Drets Socials i Inclusió;secretari general de Drets Socials i Inclusió;19779;Govern de la Generalitat de Catalunya;Secretaria General de Drets Socials i Inclusió;Raúl Moreno Montaña;
Autoritat del Transport Metropolità, Consorci per a la coordinació del sistema metropolità del transport públic de l'àrea de BarcelonaVocals en representació de la Generalitat de CatalunyaSecretari general del Departament de Drets Socials i Inclusió;Autoritat del Transport Metropolità, Consorci per a la coordinació del sistema metropolità del transport públic de l'àrea de Barcelona;TER - Departament de Territori, Habitatge i Transició Ecològica;Vocals en representació de la Generalitat de Catalunya;Vocal;Secretari general del Departament de Drets Socials i Inclusió;secretari general de Drets Socials i Inclusió;19779;Govern de la Generalitat de Catalunya;Secretaria General de Drets Socials i Inclusió;Raúl Moreno Montaña;
Centre de Telecomunicacions i Tecnologies de la Informació de la Generalitat de CatalunyaRepresentants de I'Administració de Ia Generalitat de CatalunyaSecretari general del Departament de Drets Socials i Inclusió;Centre de Telecomunicacions i Tecnologies de la Informació de la Generalitat de Catalunya;PRE - Departament de la Presidència;Representants de I'Administració de Ia Generalitat de Catalunya;Vocal;Secretari general del Departament de Drets Socials i Inclusió;secretari general de Drets Socials i Inclusió;19779;Govern de la Generalitat de Catalunya;Secretaria General de Drets Socials i Inclusió;Raúl Moreno Montaña;
Institut Català de l'Acolliment i de l'AdopcióLa persona titular de la Secretaria General del departament competent en la matèria d'acoll. i adop.Secretari general del Departament de Drets Socials i Inclusió;Institut Català de l'Acolliment i de l'Adopció;DSI - Departament de Drets Socials i Inclusió;La persona titular de la Secretaria General del departament competent en la matèria d'acoll. i adop.;Vocal;Secretari general del Departament de Drets Socials i Inclusió;secretari general de Drets Socials i Inclusió;19779;;Secretaria General de Drets Socials i Inclusió;Raúl Moreno Montaña;
Institut Català de les Empreses CulturalsVocals en representació del Departament competent en matèria de culturaDirector General de Política Lingüística en l'Àmbit Tecnològic i Audiovisual;Institut Català de les Empreses Culturals;CLT - Departament de Cultura;Vocals en representació del Departament competent en matèria de cultura;Vocal;Director General de Política Lingüística en l'Àmbit Tecnològic i Audiovisual;Director general;23538;Conseller/a de Cultura;Direcció General de Política Lingüística en els Àmbits Tecnològic i Audiovisual;Roger Serra Puig;
Fundació Centre de Recerca en Agrotecnologia, AGROTECNIOLa persona titular de la Secretaria d’Alimentació del dept de la Generalitat competent en matèria d'Secretaria d’Alimentació del dept de la Generalitat competent en matèria d'agric i alimentació;Fundació Centre de Recerca en Agrotecnologia, AGROTECNIO;ARP - Departament d'Agricultura, Ramaderia, Pesca i Alimentació;La persona titular de la Secretaria d’Alimentació del dept de la Generalitat competent en matèria d';Vocal;Secretaria d’Alimentació del dept de la Generalitat competent en matèria d'agric i alimentació;secretària d'Alimentació;21708;Govern de la Generalitat de Catalunya;Secretaria d'Alimentació;Rosa Maria Cubel Muñoz;
Institut de Recerca i Tecnologia Agroalimentàries (IRTA)Vocal en representació del departament competent en matèria d'agricultura i alimentacióSecretària d'Alimentació del Departament d'Agricultura, Ramaderia, Pesca i Alimentació;Institut de Recerca i Tecnologia Agroalimentàries (IRTA);ARP - Departament d'Agricultura, Ramaderia, Pesca i Alimentació;Vocal en representació del departament competent en matèria d'agricultura i alimentació;Vocal;Secretària d'Alimentació del Departament d'Agricultura, Ramaderia, Pesca i Alimentació;secretària d'Alimentació;21708;Govern de la Generalitat de Catalunya;Secretaria d'Alimentació;Rosa Maria Cubel Muñoz;
Centre de Telecomunicacions i Tecnologies de la Informació de la Generalitat de CatalunyaRepresentants de la Corporació Catalana de Mitjans AudiovisualsPresidenta del Consell d'Administració de la Corporació Catalana de Mitjans Audiovisuals;Centre de Telecomunicacions i Tecnologies de la Informació de la Generalitat de Catalunya;PRE - Departament de la Presidència;Representants de la Corporació Catalana de Mitjans Audiovisuals;Vocal;Presidenta del Consell d'Administració de la Corporació Catalana de Mitjans Audiovisuals;Presidenta de la Corporació Catalana de Mitjans Audiovisuals;7692;Govern de la Generalitat de Catalunya;Corporació Catalana de Mitjans Audiovisuals (CCMA);Rosa Romà Monfà;
Institut Català de les Empreses CulturalsVocal en representació del departament competent matèria de noves tecnologiesDirectora general de Societat Digital;Institut Català de les Empreses Culturals;CLT - Departament de Cultura;Vocal en representació del departament competent matèria de noves tecnologies;Vocal;Directora general de Societat Digital;Directora general d'Economia i Societat Digitals;19934;Conseller/a de Cultura;Direcció General d'Economia i Societat Digitals;Sandra Ruiz Peralta;
