Codificació;denominaci;Departament;membre;c_rrec_en_l_rgan_de_govern_superior;c_rrec_o_lloc_de_treball;SAC.carrec;SAC.codi_d_informaci;rgan_que_designa;SAC;nom_1;Observacions
Servei Català de la SalutEl/la conseller/a del departament competent en matèria de salut que serà el president/aConsellera de Salut;Servei Català de la Salut;SLT - Departament de Salut;El/la conseller/a del departament competent en matèria de salut que serà el president/a;President/a;Consellera de Salut;consellera de Salut;2803;President de la Generalitat de Catalunya;Departament de Salut;Olga Pané Mena;
Institut de Recerca Biomèdica de Lleida, Fundació Dr. PifarréEl/la titular del departament de la Generalitat competent en matèria de salutConsellera de Salut;Institut de Recerca Biomèdica de Lleida, Fundació Dr. Pifarré;SLT - Departament de Salut;El/la titular del departament de la Generalitat competent en matèria de salut;President/a;Consellera de Salut;consellera de Salut;2803;;Departament de Salut;Olga Pané Mena;
Fundació Institut de Recerca contra la Leucèmia Josep CarrerasEl/la titular del departament de la Generalitat competent en matèria de salutConsellera de Salut;Fundació Institut de Recerca contra la Leucèmia Josep Carreras;SLT - Departament de Salut;El/la titular del departament de la Generalitat competent en matèria de salut;Vicepresident/a primer;Consellera de Salut;consellera de Salut;2803;;Departament de Salut;Olga Pané Mena;
Consorci Porta Diagonal - Campus ClínicLa persona titular del departament competent en matèria de salutConsellera de Salut;Consorci Porta Diagonal - Campus Clínic;PRE - Departament de la Presidència;La persona titular del departament competent en matèria de salut;Membre;Consellera de Salut;consellera de Salut;2803;Govern de la Generalitat de Catalunya;Departament de Salut;Olga Pané Mena;
Centre d'Atenció i Gestió de Trucades d'Urgència 112 CatalunyaVicepresident/a que correspon al conseller/a competent en matèria de salutConsellera de Salut;Centre d'Atenció i Gestió de Trucades d'Urgència 112 Catalunya;ISP - Departament d'Interior i Seguretat Pública;Vicepresident/a que correspon al conseller/a competent en matèria de salut;Vicepresident/a;Consellera de Salut;consellera de Salut;2803;;Departament de Salut;Olga Pané Mena;
Agrupació Europea de Cooperació Territorial Hospital de la CerdanyaConseller/a de Salut o persona que designiConsellera de Salut;Agrupació Europea de Cooperació Territorial Hospital de la Cerdanya;SLT - Departament de Salut;Conseller/a de Salut o persona que designi;President/a;Consellera de Salut;consellera de Salut;2803;;Departament de Salut;Olga Pané Mena;
Memorial DemocràticEl director/a de l'Arxiu Nacional de CatalunyaDirectora de l'Arxiu Nacional de Catalunya;Memorial Democràtic;JUS - Departament de Justícia i Qualitat Democràtica;El director/a de l'Arxiu Nacional de Catalunya;Membre;Directora de l'Arxiu Nacional de Catalunya;directora de l'Arxiu Nacional de Catalunya;2333;;Arxiu Nacional de Catalunya;Pilar Cuerva Castillo;
Centre de la Propietat ForestalVocal representant dept competent en matèria de desenvolupament rural amb rang mínim SDGDirector General de Desenvolupament Rural;Centre de la Propietat Forestal;ARP - Departament d'Agricultura, Ramaderia, Pesca i Alimentació;Vocal representant dept competent en matèria de desenvolupament rural amb rang mínim SDG;Vocal;Director General de Desenvolupament Rural;director general de Desenvolupament Rural;23560;Conseller/a Agricultura, Ramaderia, Pesca i Alimentació;Direcció General de Desenvolupament Rural;Ramon Armengol Torrent;
Consorci de l'Observatori del PaisatgeAdministració de la Generalitat de CatalunyaDirector General de Desenvolupament Rural;Consorci de l'Observatori del Paisatge;TER - Departament de Territori, Habitatge i Transició Ecològica;Administració de la Generalitat de Catalunya;Membre;Director General de Desenvolupament Rural;director general de Desenvolupament Rural;23560;HC ACC;Direcció General de Desenvolupament Rural;Ramon Armengol Torrent;
Institut de Seguretat Pública de CatalunyaDirector o directora del Servei Català de TrànsitDirector del Servei Català de Trànsit;Institut de Seguretat Pública de Catalunya;ISP - Departament d'Interior i Seguretat Pública;Director o directora del Servei Català de Trànsit;Vocal;Director del Servei Català de Trànsit;director del Servei Català de Trànsit;853;;Servei Català de Trànsit;Ramon Lamiel Villaró;
